sessionId,sampleIndex,action,source,x,y,eventTimeNs
3,6827,MOVE,historical,846.0996,1746.2002,740914262534000
3,6828,MOVE,current,845.9502,1746.25,740914266723000
3,6829,MOVE,historical,845.7998,1746.2998,740914271263000
3,6830,MOVE,current,845.6504,1746.3496,740914275627500
3,6831,MOVE,historical,845.5996,1746.4004,740914279385000
3,6832,MOVE,current,845.5,1746.4502,740914283446000
3,6833,MOVE,historical,845.4004,1746.5996,740914287771000
3,6834,MOVE,current,845.2998,1746.7002,740914291964000
3,6835,MOVE,historical,845.2002,1746.7002,740914295935000
3,6836,MOVE,current,845.0996,1746.75,740914300017000
3,6837,MOVE,historical,845.0,1746.7998,740914304379000
3,6838,MOVE,current,844.9004,1746.8496,740914308601000
3,6839,MOVE,historical,844.7998,1746.9004,740914312996000
3,6840,MOVE,current,844.7002,1746.9502,740914317304500
3,6841,MOVE,historical,844.5,1747.0,740914321254000
3,6842,MOVE,current,844.3496,1747.0498,740914325383000
3,6843,MOVE,historical,844.2998,1747.0996,740914330001000
3,6844,MOVE,current,844.2051,1747.1475,740914334158385
3,6845,MOVE,historical,844.0996,1747.2002,740914338400000
3,6846,MOVE,current,844.0029,1747.248,740914342467089
3,6847,MOVE,historical,843.7998,1747.2998,740914346386000
3,6848,MOVE,current,843.6504,1747.3496,740914350379000
3,6849,MOVE,historical,843.5,1747.5,740914354789000
3,6850,MOVE,current,843.3496,1747.6006,740914358990500
3,6851,MOVE,historical,843.2998,1747.5996,740914363670000
3,6852,MOVE,current,843.2158,1747.6416,740914367397281
3,6853,MOVE,historical,843.0996,1747.7002,740914371914000
3,6854,MOVE,current,843.0078,1747.7461,740914375709000
3,6855,MOVE,historical,843.0,1747.7998,740914380078000
3,6856,MOVE,current,842.95215,1747.8486,740914384021552
3,6857,MOVE,historical,842.7002,1747.9004,740914388583000
3,6858,MOVE,current,842.5674,1747.9443,740914392334948
3,6859,MOVE,historical,842.5,1748.0,740914397100000
3,6860,MOVE,current,842.417,1748.042,740914400649326
3,6861,MOVE,historical,842.4004,1748.0996,740914405505000
3,6862,MOVE,current,842.3584,1748.1416,740914408964642
3,6863,MOVE,historical,842.0996,1748.2002,740914413870000
3,6864,MOVE,current,841.97754,1748.2412,740914417280759
3,6865,MOVE,historical,841.9004,1748.2998,740914422341000
3,6866,MOVE,current,841.82324,1748.3389,740914425597610
3,6867,MOVE,historical,841.7002,1748.4004,740914430601000
